tempo_dt,posicao_y,xi,velocidade_v,aceleracao
2.479999999999991, 0.29749999999998833, 0.435499999999988, 13.799999999999967, -10.0
2.489999999999991, 0.433999999999988, 0.5709999999999877, 13.699999999999967, -10.0
2.4999999999999907, 0.5694999999999877, 0.7054999999999874, 13.599999999999968, -10.0
2.5099999999999905, 0.7039999999999874, 0.8389999999999871, 13.499999999999968, -10.0
2.5199999999999902, 0.8374999999999871, 0.9714999999999868, 13.399999999999968, -10.0
2.52999999999999, 0.9699999999999869, 1.1029999999999867, 13.299999999999969, -10.0
2.53999999999999, 1.1014999999999866, 1.2334999999999863, 13.199999999999969, -10.0
2.5499999999999896, 1.2319999999999864, 1.3629999999999862, 13.09999999999997, -10.0
2.5599999999999894, 1.3614999999999862, 1.4914999999999858, 12.99999999999997, -10.0
2.569999999999989, 1.489999999999986, 1.6189999999999858, 12.89999999999997, -10.0
2.579999999999989, 1.6174999999999857, 1.7454999999999854, 12.79999999999997, -10.0
2.5899999999999888, 1.7439999999999856, 1.8709999999999853, 12.69999999999997, -10.0
2.5999999999999885, 1.8694999999999853, 1.995499999999985, 12.599999999999971, -10.0
2.6099999999999883, 1.9939999999999851, 2.1189999999999847, 12.499999999999972, -10.0
2.619999999999988, 2.1174999999999846, 2.2414999999999843, 12.399999999999972, -10.0
2.629999999999988, 2.2399999999999842, 2.362999999999984, 12.299999999999972, -10.0
2.6399999999999877, 2.361499999999984, 2.483499999999984, 12.199999999999973, -10.0
2.6499999999999875, 2.4819999999999833, 2.602999999999983, 12.099999999999973, -10.0
2.6599999999999873, 2.601499999999983, 2.7214999999999825, 11.999999999999973, -10.0
2.669999999999987, 2.7199999999999824, 2.838999999999982, 11.899999999999974, -10.0
2.679999999999987, 2.837499999999982, 2.955499999999982, 11.799999999999974, -10.0
2.6899999999999866, 2.9539999999999815, 3.070999999999981, 11.699999999999974, -10.0
2.6999999999999864, 3.069499999999981, 3.1854999999999807, 11.599999999999975, -10.0
2.709999999999986, 3.1839999999999806, 3.2989999999999804, 11.499999999999975, -10.0
2.719999999999986, 3.2974999999999803, 3.41149999999998, 11.399999999999975, -10.0
2.7299999999999858, 3.40999999999998, 3.52299999999998, 11.299999999999976, -10.0
2.7399999999999856, 3.5214999999999796, 3.6334999999999793, 11.199999999999976, -10.0
2.7499999999999853, 3.6319999999999792, 3.742999999999979, 11.099999999999977, -10.0
2.759999999999985, 3.741499999999979, 3.851499999999979, 10.999999999999977, -10.0
2.769999999999985, 3.8499999999999788, 3.9589999999999788, 10.899999999999977, -10.0
2.7799999999999847, 3.9574999999999783, 4.065499999999978, 10.799999999999978, -10.0
2.7899999999999845, 4.063999999999979, 4.170999999999979, 10.699999999999978, -10.0
2.7999999999999843, 4.169499999999979, 4.275499999999979, 10.599999999999978, -10.0
2.809999999999984, 4.273999999999979, 4.378999999999978, 10.499999999999979, -10.0
2.819999999999984, 4.377499999999979, 4.481499999999979, 10.399999999999979, -10.0
2.8299999999999836, 4.479999999999979, 4.582999999999979, 10.29999999999998, -10.0
2.8399999999999834, 4.581499999999979, 4.683499999999978, 10.19999999999998, -10.0
2.849999999999983, 4.681999999999979, 4.782999999999979, 10.09999999999998, -10.0
2.859999999999983, 4.781499999999979, 4.881499999999979, 9.99999999999998, -10.0
2.869999999999983, 4.8799999999999795, 4.97899999999998, 9.89999999999998, -10.0
2.8799999999999826, 4.97749999999998, 5.0754999999999795, 9.799999999999981, -10.0
2.8899999999999824, 5.073999999999979, 5.170999999999979, 9.699999999999982, -10.0
2.899999999999982, 5.16949999999998, 5.26549999999998, 9.599999999999982, -10.0
2.909999999999982, 5.26399999999998, 5.35899999999998, 9.499999999999982, -10.0
2.9199999999999817, 5.3574999999999795, 5.451499999999979, 9.399999999999983, -10.0
2.9299999999999815, 5.44999999999998, 5.54299999999998, 9.299999999999983, -10.0
2.9399999999999813, 5.54149999999998, 5.633499999999979, 9.199999999999983, -10.0
2.949999999999981, 5.63199999999998, 5.72299999999998, 9.099999999999984, -10.0
2.959999999999981, 5.72149999999998, 5.81149999999998, 8.999999999999984, -10.0
2.9699999999999807, 5.80999999999998, 5.89899999999998, 8.899999999999984, -10.0
2.9799999999999804, 5.89749999999998, 5.9854999999999805, 8.799999999999985, -10.0
2.9899999999999802, 5.9839999999999804, 6.07099999999998, 8.699999999999985, -10.0
2.99999999999998, 6.069499999999981, 6.15549999999998, 8.599999999999985, -10.0
3.00999999999998, 6.153999999999981, 6.238999999999981, 8.499999999999986, -10.0
3.0199999999999796, 6.237499999999981, 6.321499999999981, 8.399999999999986, -10.0
3.0299999999999794, 6.319999999999982, 6.402999999999982, 8.299999999999986, -10.0
3.039999999999979, 6.401499999999982, 6.483499999999982, 8.199999999999987, -10.0
3.049999999999979, 6.4819999999999816, 6.562999999999981, 8.099999999999987, -10.0
3.0599999999999787, 6.561499999999982, 6.641499999999982, 7.999999999999988, -10.0
3.0699999999999785, 6.639999999999982, 6.718999999999982, 7.899999999999988, -10.0
3.0799999999999783, 6.7174999999999825, 6.795499999999983, 7.799999999999988, -10.0
3.089999999999978, 6.793999999999983, 6.870999999999983, 7.699999999999989, -10.0
3.099999999999978, 6.869499999999983, 6.945499999999982, 7.599999999999989, -10.0
